state_name,county,city,city_ascii
Alabama,Tuscaloosa,Northport,Northport
Alabama,Tuscaloosa,Lake View,Lake View
Alabama,Tuscaloosa,Holt,Holt
Alabama,Tuscaloosa,Cottondale,Cottondale
Alabama,Tuscaloosa,Brookwood,Brookwood
Alabama,Tuscaloosa,Coaling,Coaling
Alabama,Tuscaloosa,Vance,Vance
Alabama,Tuscaloosa,Coker,Coker
Alabama,Walker,Jasper,Jasper
Alabama,Walker,Dora,Dora
Alabama,Walker,Sumiton,Sumiton
Alabama,Walker,Cordova,Cordova
Alabama,Walker,Carbon Hill,Carbon Hill
Alabama,Walker,Parrish,Parrish
Alabama,Walker,Oakman,Oakman
Alabama,Walker,Sipsey,Sipsey
Alabama,Walker,Nauvoo,Nauvoo
Alabama,Walker,Kansas,Kansas
Alabama,Walker,Eldridge,Eldridge
Alabama,Washington,Leroy,Leroy
Alabama,Washington,Chatom,Chatom
Alabama,Washington,Millry,Millry
Alabama,Washington,St. Stephens,St. Stephens
Alabama,Washington,Malcolm,Malcolm
Alabama,Washington,Vinegar Bend,Vinegar Bend
Alabama,Washington,McIntosh,McIntosh
Alabama,Washington,Hobson,Hobson
Alabama,Washington,Fairford,Fairford
Alabama,Washington,Calvert,Calvert
Alabama,Washington,Deer Park,Deer Park
Alabama,Washington,Fruitdale,Fruitdale
Alabama,Washington,Tibbie,Tibbie
Alabama,Washington,Sims Chapel,Sims Chapel
Alabama,Wilcox,Camden,Camden
Alabama,Wilcox,Pine Hill,Pine Hill
Alabama,Wilcox,Boykin,Boykin
Alabama,Wilcox,Pine Apple,Pine Apple
Alabama,Wilcox,Yellow Bluff,Yellow Bluff
Alabama,Wilcox,Oak Hill,Oak Hill
Alabama,Wilcox,Catherine,Catherine
Alabama,Winston,Haleyville,Haleyville
Alabama,Winston,Double Springs,Double Springs
Alabama,Winston,Lynn,Lynn
Alabama,Winston,Addison,Addison
Alabama,Winston,Arley,Arley
Alabama,Winston,Natural Bridge,Natural Bridge
Alaska,Aleutians East,King Cove,King Cove
Alaska,Aleutians East,Sand Point,Sand Point
Alaska,Aleutians East,Akutan,Akutan
Alaska,Aleutians East,Cold Bay,Cold Bay
Alaska,Aleutians East,False Pass,False Pass
Alaska,Aleutians East,Nelson Lagoon,Nelson Lagoon
Alaska,Aleutians West,Unalaska,Unalaska
Alaska,Aleutians West,St. Paul,St. Paul
Alaska,Aleutians West,Eareckson Station,Eareckson Station
Alaska,Aleutians West,Adak,Adak
Alaska,Aleutians West,St. George,St. George
Alaska,Aleutians West,Atka,Atka
Alaska,Aleutians West,Attu Station,Attu Station
Alaska,Aleutians West,Nikolski,Nikolski
Alaska,Anchorage,Anchorage,Anchorage
Alaska,Bethel,Bethel,Bethel
Alaska,Bethel,Quinhagak,Quinhagak
Alaska,Bethel,Toksook Bay,Toksook Bay
Alaska,Bethel,Kwethluk,Kwethluk
Alaska,Bethel,Nunapitchuk,Nunapitchuk
Alaska,Bethel,Kasigluk,Kasigluk
Alaska,Bethel,Akiachak,Akiachak
Alaska,Bethel,Tuntutuliak,Tuntutuliak
